Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
216,330.0,116.0,5,5.0,4.5,9.36,1.0,0.93
37,299.0,106.0,2,4.0,4.0,8.4,0.0,0.64
285,340.0,112.0,4,5.0,4.5,9.66,1.0,0.94
39,304.0,105.0,1,3.0,1.5,7.5,0.0,0.52
106,316.0,110.0,3,4.0,4.5,8.78,1.0,0.69
146,320.0,113.0,2,2.0,2.5,8.64,1.0,0.81
52,312.0,100.0,2,1.5,3.5,7.9,1.0,0.56
263,308.0,103.0,2,2.5,4.0,8.36,1.0,0.7
398,330.0,116.0,4,5.0,4.5,9.45,1.0,0.91
61,309.0,100.0,2,3.0,3.0,8.1,0.0,0.48
7,321.0,109.0,3,3.0,4.0,8.2,1.0,0.75
9,302.0,102.0,1,2.0,1.5,8.0,0.0,0.5
347,304.0,97.0,2,1.5,2.0,7.64,0.0,0.47
126,300.0,100.0,3,2.0,3.0,8.66,1.0,0.64
202,315.0,110.0,2,3.5,3.0,8.46,1.0,0.72
192,323.0,110.0,5,4.0,5.0,8.98,1.0,0.87
36,320.0,110.0,5,5.0,5.0,9.2,1.0,0.88
375,315.0,105.0,2,2.0,2.5,7.65,0.0,0.39
312,328.0,108.0,4,4.5,4.0,9.18,1.0,0.84
308,325.0,112.0,4,4.0,4.0,9.0,1.0,0.8
336,325.0,111.0,4,4.0,4.5,9.11,1.0,0.83
291,307.0,105.0,2,2.5,3.0,7.65,0.0,0.58
223,324.0,113.0,4,4.5,4.0,8.79,0.0,0.76
269,327.0,113.0,4,4.5,5.0,9.14,0.0,0.83
95,303.0,99.0,3,2.0,2.5,7.66,0.0,0.36
282,317.0,110.0,3,4.0,4.5,9.11,1.0,0.8
123,310.0,106.0,4,1.5,2.5,8.36,0.0,0.57
125,301.0,106.0,4,2.5,3.0,8.47,0.0,0.57
180,307.0,102.0,3,3.0,3.0,8.27,0.0,0.73
319,324.0,111.0,3,2.5,2.0,8.8,1.0,0.79
399,312.0,103.0,3,3.5,4.0,8.78,0.0,0.67
348,299.0,94.0,1,1.0,1.0,7.34,0.0,0.42
316,308.0,104.0,2,2.5,3.0,8.07,0.0,0.65
370,301.0,98.0,1,2.0,3.0,8.03,1.0,0.67
314,301.0,100.0,3,3.5,3.0,8.04,0.0,0.67
307,323.0,110.0,3,4.0,3.5,9.1,1.0,0.79
372,324.0,110.0,3,3.5,3.0,9.22,1.0,0.89
198,310.0,106.0,2,3.5,2.5,8.33,0.0,0.73
287,336.0,118.0,5,4.5,4.0,9.19,1.0,0.92
384,300.0,100.0,3,3.0,3.5,8.26,0.0,0.62
378,290.0,100.0,1,1.5,2.0,7.56,0.0,0.47
332,311.0,105.0,2,3.0,2.0,8.12,1.0,0.73
275,315.0,100.0,1,2.0,2.5,7.95,0.0,0.58
187,317.0,107.0,3,3.5,3.0,8.68,1.0,0.84
159,306.0,106.0,2,2.0,2.5,8.14,0.0,0.61
315,305.0,105.0,2,3.0,4.0,8.13,0.0,0.66
197,306.0,105.0,2,3.0,2.5,8.26,0.0,0.73
260,331.0,119.0,4,5.0,4.5,9.34,1.0,0.9
86,319.0,103.0,4,4.5,3.5,8.66,0.0,0.76
267,312.0,105.0,2,2.0,2.5,8.45,0.0,0.72
191,324.0,111.0,5,4.5,4.0,9.16,1.0,0.9
79,296.0,95.0,2,3.0,2.0,7.54,1.0,0.44
150,311.0,106.0,2,3.5,3.0,8.26,1.0,0.79
296,317.0,100.0,2,3.0,2.5,8.57,0.0,0.68
367,320.0,104.0,3,3.5,4.5,8.34,1.0,0.74
256,307.0,110.0,4,4.0,4.5,8.37,0.0,0.79
32,327.0,103.0,3,4.0,4.0,8.3,1.0,0.74
209,305.0,106.0,2,3.0,3.0,8.16,0.0,0.64
6,330.0,115.0,5,4.5,3.0,9.34,1.0,0.9
274,312.0,99.0,1,1.0,1.5,8.01,1.0,0.52
330,297.0,96.0,2,2.5,1.5,7.89,0.0,0.43
17,317.0,107.0,3,4.0,3.0,8.7,0.0,0.66
1,337.0,118.0,4,4.5,4.5,9.65,1.0,0.92
288,324.0,114.0,5,5.0,4.5,9.08,1.0,0.89
211,325.0,108.0,4,4.5,4.0,9.06,1.0,0.79
93,298.0,98.0,2,4.0,3.0,8.03,0.0,0.34
171,312.0,101.0,2,2.5,3.5,8.04,1.0,0.68
303,322.0,105.0,2,3.0,3.0,8.45,1.0,0.65
30,310.0,99.0,2,1.5,2.0,7.3,0.0,0.54
230,324.0,111.0,4,3.0,3.0,9.01,1.0,0.82
100,323.0,113.0,3,4.0,4.0,8.88,1.0,0.79
327,299.0,100.0,3,2.0,2.0,8.02,0.0,0.63
333,308.0,106.0,3,3.5,2.5,8.21,1.0,0.75
391,314.0,102.0,2,2.0,2.5,8.24,0.0,0.64
143,331.0,115.0,5,4.0,3.5,9.44,1.0,0.92
371,310.0,103.0,2,2.5,2.5,8.24,0.0,0.72
15,311.0,104.0,3,3.5,2.0,8.2,1.0,0.61
85,340.0,115.0,5,4.5,4.5,9.45,1.0,0.94
67,327.0,114.0,3,3.0,3.0,9.02,0.0,0.61
305,313.0,106.0,2,2.5,2.0,8.43,0.0,0.62
108,338.0,117.0,4,3.5,4.5,9.46,1.0,0.91
283,312.0,106.0,3,4.0,3.5,8.79,1.0,0.81
340,324.0,107.0,5,3.5,4.0,8.66,1.0,0.81
130,333.0,118.0,5,5.0,5.0,9.35,1.0,0.92
84,322.0,115.0,5,4.0,4.5,9.36,1.0,0.92
135,333.0,113.0,5,4.0,4.0,9.28,1.0,0.89
56,320.0,103.0,3,3.0,3.0,7.7,0.0,0.64
99,332.0,119.0,4,5.0,4.5,9.24,1.0,0.9
349,302.0,99.0,1,2.0,2.0,7.25,0.0,0.57
337,319.0,110.0,3,3.0,2.5,8.79,0.0,0.72
88,317.0,107.0,2,3.5,3.0,8.28,0.0,0.66
185,316.0,106.0,2,2.5,4.0,8.32,0.0,0.72
251,320.0,104.0,3,3.0,2.5,8.57,1.0,0.74
45,326.0,113.0,5,4.5,4.0,9.4,1.0,0.91
196,307.0,107.0,2,3.0,3.5,8.52,1.0,0.78
46,322.0,110.0,5,5.0,4.0,9.1,1.0,0.88
111,305.0,108.0,5,3.0,3.0,8.48,0.0,0.61
376,304.0,101.0,2,2.0,2.5,7.66,0.0,0.38
205,298.0,105.0,3,3.5,4.0,8.54,0.0,0.69
131,339.0,114.0,5,4.0,4.5,9.76,1.0,0.96
188,335.0,118.0,5,4.5,3.5,9.44,1.0,0.93
51,313.0,98.0,3,2.5,4.5,8.3,1.0,0.76
396,324.0,110.0,3,3.5,3.5,9.04,1.0,0.82
20,303.0,102.0,3,3.5,3.0,8.5,0.0,0.62
323,314.0,107.0,2,2.5,4.0,8.27,0.0,0.72
164,317.0,105.0,3,3.5,3.0,8.56,0.0,0.68
217,322.0,112.0,4,4.5,4.5,9.26,1.0,0.91
341,312.0,107.0,3,3.0,3.0,8.46,1.0,0.75
392,318.0,106.0,3,2.0,3.0,8.65,0.0,0.71
373,336.0,119.0,4,4.5,4.0,9.62,1.0,0.95
325,315.0,104.0,3,3.0,2.5,8.33,0.0,0.67
390,320.0,108.0,3,3.5,4.0,8.44,1.0,0.76
363,338.0,115.0,5,4.5,5.0,9.23,1.0,0.91
139,326.0,116.0,2,4.5,3.0,9.08,1.0,0.8
226,296.0,99.0,2,2.5,2.5,8.03,0.0,0.61
233,312.0,107.0,2,2.5,3.5,8.27,0.0,0.69
239,310.0,104.0,3,2.0,3.5,8.37,0.0,0.7
120,327.0,104.0,5,3.0,3.5,8.84,1.0,0.71
369,298.0,92.0,1,2.0,2.0,7.88,0.0,0.51
133,309.0,105.0,5,3.5,3.5,8.56,0.0,0.71
161,315.0,103.0,1,1.5,2.0,7.86,0.0,0.57
63,304.0,105.0,2,3.0,3.0,8.2,1.0,0.54
110,304.0,103.0,5,5.0,4.0,8.64,0.0,0.68
218,321.0,109.0,4,4.0,4.0,9.13,1.0,0.85
264,324.0,111.0,3,2.5,1.5,8.79,1.0,0.7
155,326.0,108.0,3,3.0,3.5,8.89,0.0,0.8
231,313.0,104.0,3,4.0,4.5,8.65,0.0,0.73
360,321.0,107.0,2,2.0,1.5,8.44,0.0,0.81
138,316.0,100.0,2,1.5,3.0,8.16,1.0,0.71
29,295.0,93.0,1,2.0,2.0,7.2,0.0,0.46
176,320.0,111.0,4,4.5,3.5,8.87,1.0,0.85
24,334.0,119.0,5,5.0,4.5,9.7,1.0,0.95
158,309.0,104.0,2,2.0,2.5,8.26,0.0,0.65
162,298.0,99.0,1,1.5,3.0,7.46,0.0,0.53
227,306.0,110.0,2,3.5,4.0,8.45,0.0,0.63
246,328.0,110.0,4,4.0,2.5,9.02,1.0,0.81
250,321.0,111.0,3,3.5,4.0,8.83,1.0,0.77
65,325.0,111.0,3,3.0,3.5,8.7,0.0,0.52
379,303.0,98.0,1,2.0,2.5,7.65,0.0,0.56
318,300.0,99.0,1,1.0,2.5,8.01,0.0,0.58
389,296.0,97.0,2,1.5,2.0,7.8,0.0,0.49
175,321.0,111.0,4,4.0,4.0,8.97,1.0,0.87
122,334.0,119.0,5,4.5,4.5,9.48,1.0,0.94
321,317.0,106.0,3,4.0,3.5,8.5,1.0,0.75
47,329.0,114.0,5,4.0,5.0,9.3,1.0,0.86
204,334.0,120.0,5,4.0,5.0,9.87,1.0,0.97
62,307.0,101.0,3,4.0,3.0,8.2,0.0,0.47
22,325.0,114.0,4,3.0,2.0,8.4,0.0,0.7
38,300.0,105.0,1,1.0,2.0,7.8,0.0,0.58
280,304.0,102.0,2,3.0,4.0,8.73,0.0,0.67
64,315.0,107.0,2,4.0,3.0,8.5,1.0,0.56
366,330.0,114.0,4,4.5,3.0,9.17,1.0,0.86
193,322.0,114.0,5,4.5,4.0,8.94,1.0,0.86
54,324.0,112.0,4,4.0,2.5,8.1,1.0,0.72
299,330.0,114.0,3,4.5,4.5,9.24,1.0,0.9
53,334.0,116.0,4,4.0,3.0,8.0,1.0,0.78
334,319.0,108.0,3,3.0,3.5,8.54,1.0,0.71
270,308.0,108.0,4,4.5,5.0,8.34,0.0,0.77
97,306.0,100.0,2,3.0,3.0,8.0,0.0,0.48
77,327.0,112.0,3,3.0,3.0,8.72,1.0,0.74
91,318.0,106.0,2,4.0,4.0,7.92,1.0,0.64
242,317.0,103.0,2,2.5,2.0,8.15,0.0,0.65
302,319.0,108.0,2,2.5,3.0,8.76,0.0,0.66
13,328.0,112.0,4,4.0,4.5,9.1,1.0,0.78
212,328.0,110.0,4,5.0,4.0,9.14,1.0,0.82
245,314.0,107.0,2,2.5,4.0,8.56,0.0,0.63
214,333.0,119.0,5,5.0,4.5,9.78,1.0,0.96
344,305.0,103.0,2,2.5,3.5,8.13,0.0,0.59
82,340.0,120.0,4,5.0,5.0,9.5,1.0,0.96
152,332.0,116.0,5,5.0,5.0,9.28,1.0,0.94
16,314.0,105.0,3,3.5,2.5,8.3,0.0,0.54
98,331.0,120.0,3,4.0,4.0,8.96,1.0,0.86
140,318.0,109.0,1,3.5,3.5,9.12,0.0,0.78
273,294.0,95.0,1,1.5,1.5,7.64,0.0,0.49
350,313.0,101.0,3,2.5,3.0,8.04,0.0,0.62
329,324.0,112.0,4,4.0,3.5,8.77,1.0,0.8
167,302.0,102.0,3,3.5,5.0,8.33,0.0,0.65
385,340.0,113.0,4,5.0,5.0,9.74,1.0,0.96
49,321.0,110.0,3,3.5,5.0,8.85,1.0,0.82
351,318.0,107.0,3,3.0,3.5,8.27,1.0,0.74
127,323.0,113.0,3,4.0,3.0,9.32,1.0,0.85
148,326.0,114.0,3,3.0,3.0,9.11,1.0,0.83
12,327.0,111.0,4,4.0,4.5,9.0,1.0,0.84
284,321.0,111.0,3,2.5,3.0,8.9,1.0,0.8
290,313.0,109.0,3,4.0,3.5,9.0,0.0,0.79
298,320.0,120.0,3,4.0,4.5,9.11,0.0,0.86
310,308.0,110.0,4,3.5,3.0,8.6,0.0,0.7
145,325.0,112.0,2,3.0,3.5,8.96,1.0,0.8
25,336.0,119.0,5,4.0,3.5,9.8,1.0,0.97
19,318.0,110.0,3,4.0,3.0,8.8,0.0,0.63
345,295.0,96.0,2,1.5,2.0,7.34,0.0,0.47
241,296.0,101.0,1,2.5,3.0,7.68,0.0,0.6
178,319.0,110.0,3,3.5,3.5,9.04,0.0,0.82
113,301.0,107.0,3,3.5,3.5,8.34,1.0,0.62
174,323.0,113.0,4,4.0,4.5,9.23,1.0,0.89
221,313.0,103.0,3,4.0,4.0,8.75,0.0,0.76
382,319.0,105.0,3,3.0,3.5,8.67,1.0,0.73
